ts,broker,quote_asset,portfolio_value,portfolio_pnl,portfolio_pnl_pct,strategy_equity,strategy_realized,strategy_unrealized,strategy_total,drawdown_pct,exposure,exposure_pct
2026-03-23T06:52:44.986320+00:00,fyers,INR,1563189.64925,66922.58925,0.04472636672894476471332597538,1956403.86,0,-110293.70,-110293.70,0.001943069836104075308259896129,1769218.4,0.9043216669997778475043491276
2026-03-23T06:52:55.250587+00:00,fyers,INR,1563189.64925,66922.58925,0.04472636672894476471332597538,1956403.86,0,-110293.70,-110293.70,0.001943069836104075308259896129,1769218.4,0.9043216669997778475043491276
2026-03-23T06:53:05.449899+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:53:15.674784+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:53:25.882494+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:53:36.079662+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:53:46.289400+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:53:56.498694+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:54:06.702692+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
2026-03-23T06:54:16.902886+00:00,fyers,INR,1561550.94925,65283.88925,0.04363117453778605538505940243,1954240.16,0,-112457.40,-112457.40,0.002989338209390885089630609430,1767054.70,0.9042157336486217743063882179
