timestamp,equity,cash,inventory_qty,inventory_value,realized_pnl,unrealized_pnl
2026-05-08 05:45:00,996667.85,114247.85,165,882420.0,3620.47,-5332.8
2026-05-08 06:00:00,996667.85,114247.85,165,882420.0,3620.47,-5332.8
2026-05-08 06:15:00,996667.85,114247.85,165,882420.0,3620.47,-5332.8
2026-05-08 06:30:00,995017.85,114247.85,165,880770.0,3620.47,-6982.8
2026-05-08 06:45:00,996420.35,114247.85,165,882172.5,3620.47,-5580.3
2026-05-08 07:00:00,995017.85,114247.85,165,880770.0,3620.47,-6982.8
2026-05-08 07:15:00,998977.85,114247.85,165,884730.0,3620.47,-3022.8
2026-05-08 07:30:00,994357.85,114247.85,165,880110.0,3620.47,-7642.8
2026-05-08 07:45:00,993862.85,114247.85,165,879615.0,3620.47,-8137.8
2026-05-08 08:00:00,991305.35,114247.85,165,877057.5,3620.47,-10695.3
2026-05-08 08:15:00,991222.85,114247.85,165,876975.0,3620.47,-10777.8
2026-05-08 08:30:00,991882.85,114247.85,165,877635.0,3620.47,-10117.8
2026-05-08 08:45:00,991635.35,114247.85,165,877387.5,3620.47,-10365.3
2026-05-08 09:00:00,992542.85,114247.85,165,878295.0,3620.47,-9457.8
2026-05-08 09:15:00,991635.35,114247.85,165,877387.5,3620.47,-10365.3
2026-05-08 09:30:00,992212.85,114247.85,165,877965.0,3620.47,-9787.8
2026-05-08 09:45:00,992872.85,114247.85,165,878625.0,3620.47,-9127.8
2026-05-11 03:45:00,978847.85,114247.85,165,864600.0,3620.47,-23152.8
2026-05-11 04:00:00,977197.85,114247.85,165,862950.0,3620.47,-24802.8
2026-05-11 04:15:00,973650.35,114247.85,165,859402.5,3620.47,-28350.3
2026-05-11 04:30:00,976207.85,114247.85,165,861960.0,3620.47,-25792.8
2026-05-11 04:45:00,974062.85,114247.85,165,859815.0,3620.47,-27937.8
2026-05-11 05:00:00,965317.85,114247.85,165,851070.0,3620.47,-36682.8
2026-05-11 05:15:00,969112.85,114247.85,165,854865.0,3620.47,-32887.8
2026-05-11 05:30:00,976290.35,114247.85,165,862042.5,3620.47,-25710.3
2026-05-11 05:45:00,976372.85,114247.85,165,862125.0,3620.47,-25627.8
2026-05-11 06:00:00,978352.85,114247.85,165,864105.0,3620.47,-23647.8
2026-05-11 06:15:00,980662.85,114247.85,165,866415.0,3620.47,-21337.8
2026-05-11 06:30:00,982560.35,114247.85,165,868312.5,3620.47,-19440.3
2026-05-11 06:45:00,982560.35,114247.85,165,868312.5,3620.47,-19440.3
2026-05-11 07:00:00,985447.85,114247.85,165,871200.0,3620.47,-16552.8
2026-05-11 07:15:00,985447.85,114247.85,165,871200.0,3620.47,-16552.8
2026-05-11 07:30:00,984375.35,114247.85,165,870127.5,3620.47,-17625.3
2026-05-11 07:45:00,983467.85,114247.85,165,869220.0,3620.47,-18532.8
2026-05-11 08:00:00,982972.85,114247.85,165,868725.0,3620.47,-19027.8
2026-05-11 08:15:00,983220.35,114247.85,165,868972.5,3620.47,-18780.3
2026-05-11 08:30:00,983797.85,114247.85,165,869550.0,3620.47,-18202.8
2026-05-11 08:45:00,983962.85,114247.85,165,869715.0,3620.47,-18037.8
2026-05-11 09:00:00,983467.85,114247.85,165,869220.0,3620.47,-18532.8
2026-05-11 09:15:00,981075.35,114247.85,165,866827.5,3620.47,-20925.3
2026-05-11 09:30:00,977197.85,114247.85,165,862950.0,3620.47,-24802.8
2026-05-11 09:45:00,976042.85,114247.85,165,861795.0,3620.47,-25957.8
2026-05-12 03:45:00,976125.35,114247.85,165,861877.5,3620.47,-25875.3
2026-05-12 04:00:00,978435.35,114247.85,165,864187.5,3620.47,-23565.3
2026-05-12 04:15:00,972247.85,114247.85,165,858000.0,3620.47,-29752.8
2026-05-12 04:30:00,970350.35,114247.85,165,856102.5,3620.47,-31650.3
2026-05-12 04:45:00,970432.85,114247.85,165,856185.0,3620.47,-31567.8
2026-05-12 05:00:00,971917.85,114247.85,165,857670.0,3620.47,-30082.8
2026-05-12 05:15:00,971587.85,114247.85,165,857340.0,3620.47,-30412.8
2026-05-12 05:30:00,968452.85,114247.85,165,854205.0,3620.47,-33547.8
2026-05-12 05:45:00,970927.85,114247.85,165,856680.0,3620.47,-31072.8
2026-05-12 06:00:00,969360.35,114247.85,165,855112.5,3620.47,-32640.3
2026-05-12 06:15:00,966967.85,114247.85,165,852720.0,3620.47,-35032.8
2026-05-12 06:30:00,966142.85,114247.85,165,851895.0,3620.47,-35857.8
2026-05-12 06:45:00,966060.35,114247.85,165,851812.5,3620.47,-35940.3
2026-05-12 07:00:00,965895.35,114247.85,165,851647.5,3620.47,-36105.3
2026-05-12 07:15:00,965235.35,114247.85,165,850987.5,3620.47,-36765.3
2026-05-12 07:30:00,963255.35,114247.85,165,849007.5,3620.47,-38745.3
